algorithm,k,superholderpriority,path,recall
transitivedpi_alpha0.9,1,0,4,0.252873563218391
transitivedpi_alpha0.9,1,1,4,0.919540229885057
transitivedpi_alpha0.9,1,0,5,0
transitivedpi_alpha0.9,1,1,5,0.944444444444444
transitivedpi_alpha0.9,1,0,6,0
transitivedpi_alpha0.9,1,1,6,0.736842105263158
transitivedpi_alpha0.9,1,0,7,0
transitivedpi_alpha0.9,1,1,7,1
transitivedpi_alpha0.9,1,0,8,0
transitivedpi_alpha0.9,1,1,8,0.6
transitivedpi_alpha0.9,1,0,9,0
transitivedpi_alpha0.9,1,1,9,0.142857142857143
transitivedpi_alpha0.9,1,0,10,0
transitivedpi_alpha0.9,1,1,10,0.0625
transitivedpi_alpha0.9,1,0,11,0
transitivedpi_alpha0.9,1,1,11,0
transitivedpi_alpha0.9,1,0,12,0
transitivedpi_alpha0.9,1,1,12,0
transitivedpi_alpha0.999,1,0,1,0.989769820971867
transitivedpi_alpha0.999,1,1,1,0.9923273657289
transitivedpi_alpha0.999,1,0,2,0.0969162995594714
transitivedpi_alpha0.999,1,1,2,0.929515418502203
transitivedpi_alpha0.999,1,0,3,0.288888888888889
transitivedpi_alpha0.999,1,1,3,0.916666666666667
transitivedpi_alpha0.999,1,0,4,0.252873563218391
transitivedpi_alpha0.999,1,1,4,0.919540229885057
transitivedpi_alpha0.999,1,0,5,0
transitivedpi_alpha0.999,1,1,5,0.944444444444444
transitivedpi_alpha0.999,1,0,6,0
transitivedpi_alpha0.999,1,1,6,0.736842105263158
transitivedpi_alpha0.999,1,0,7,0
transitivedpi_alpha0.999,1,1,7,1
transitivedpi_alpha0.999,1,0,8,0
transitivedpi_alpha0.999,1,1,8,0.6
transitivedpi_alpha0.999,1,0,9,0
transitivedpi_alpha0.999,1,1,9,0.142857142857143
transitivedpi_alpha0.999,1,0,10,0
transitivedpi_alpha0.999,1,1,10,0.0625
transitivedpi_alpha0.999,1,0,11,0
transitivedpi_alpha0.999,1,1,11,0
transitivedpi_alpha0.999,1,0,12,0
transitivedpi_alpha0.999,1,1,12,0
baseline,2,0,1,1
baseline,2,0,2,0
baseline,2,0,3,0
baseline,2,0,4,0
baseline,2,0,5,0
baseline,2,0,6,0
baseline,2,0,7,0
baseline,2,0,8,0
baseline,2,0,9,0
baseline,2,0,10,0
baseline,2,0,11,0
baseline,2,0,12,0
dpi,2,0,1,1
dpi,2,1,1,1
dpi,2,0,2,0
dpi,2,1,2,0
dpi,2,0,3,0
dpi,2,1,3,0
dpi,2,0,4,0
dpi,2,1,4,0
dpi,2,0,5,0
dpi,2,1,5,0
dpi,2,0,6,0
dpi,2,1,6,0
dpi,2,0,7,0
dpi,2,1,7,0
dpi,2,0,8,0
dpi,2,1,8,0
dpi,2,0,9,0
dpi,2,1,9,0
dpi,2,0,10,0
dpi,2,1,10,0
dpi,2,0,11,0
dpi,2,1,11,0
dpi,2,0,12,0
dpi,2,1,12,0
npi,2,0,1,0.997442455242967
npi,2,1,1,0.997442455242967
npi,2,0,2,0.92511013215859
npi,2,1,2,0.92511013215859
npi,2,0,3,0.9
npi,2,1,3,0.9
npi,2,0,4,0.919540229885057
npi,2,1,4,0.919540229885057
npi,2,0,5,1
npi,2,1,5,1
npi,2,0,6,1
npi,2,1,6,1
npi,2,0,7,1
npi,2,1,7,1
npi,2,0,8,1
npi,2,1,8,1
npi,2,0,9,0.952380952380952
npi,2,1,9,0.952380952380952
npi,2,0,10,1
npi,2,1,10,1
npi,2,0,11,1
npi,2,1,11,1
npi,2,0,12,1
npi,2,1,12,1
transitive_alpha0.0,2,0,1,1
transitive_alpha0.0,2,1,1,1
transitive_alpha0.0,2,0,2,0
transitive_alpha0.0,2,1,2,0
transitive_alpha0.0,2,0,3,0
transitive_alpha0.0,2,1,3,0
transitive_alpha0.0,2,0,4,0
transitive_alpha0.0,2,1,4,0
transitive_alpha0.0,2,0,5,0
transitive_alpha0.0,2,1,5,0
transitive_alpha0.0,2,0,6,0
transitive_alpha0.0,2,1,6,0
transitive_alpha0.0,2,0,7,0
transitive_alpha0.0,2,1,7,0
transitive_alpha0.0,2,0,8,0
transitive_alpha0.0,2,1,8,0
transitive_alpha0.0,2,0,9,0
transitive_alpha0.0,2,1,9,0
transitive_alpha0.0,2,0,10,0
transitive_alpha0.0,2,1,10,0
